title,parent_alias
Blow Dry/Out Services,['hair']
Boat Charters,['eventservices']
Boat Dealers,['auto']
Boating,['active']
Boat Parts & Supplies,['auto']
Boat Repair,['professional']
Boat Tours,['tours']
Bobsledding,['active']
Bocce Ball,['active']
Body Contouring,['health']
Body Shops,['auto']
Bookbinding,['localservices']
Bookkeepers,['professional']
Bookstores,['media']
Boot Camps,['fitness']
Boudoir Photography,['photographers']
Bounce House Rentals,['partyequipmentrentals']
Bowling,['active']
Boxing,['fitness']
Brasseries,['restaurants']
Brazilian,['restaurants']
Brazilian Jiu-jitsu,['martialarts']
Breakfast & Brunch,['restaurants']
Breweries,['food']
Brewing Supplies,['shopping']
Brewpubs,['breweries']
Bridal,['shopping']
British,['restaurants']
Bubble Soccer,['active']
Bubble Tea,['food']
Buddhist Temples,['religiousorgs']
Buffets,['restaurants']
Building Supplies,['homeservices']
Bulgarian,['restaurants']
Bungee Jumping,['active']
Burgers,['restaurants']
Burmese,['restaurants']
Buses,['transport']
Business Consulting,['professional']
Business Financing,['financialservices']
Business Law,['lawyers']
Bus Rental,['localservices']
Bus Stations,['transport']
Bus Tours,['tours']
Butcher,['food']
Counseling & Mental Health,['health']
Cabaret,['arts']
Cabinetry,['homeservices']
Cable Cars,['transport']
Cafes,['restaurants']
Cafeteria,['restaurants']
Cajun/Creole,['restaurants']
Patisserie/Cake Shop,['food']
Calabrian,['italian']
Calligraphy,['localservices']
Cambodian,['restaurants']
Campgrounds,['hotelstravel']
Candle Stores,['homeandgarden']
Candy Stores,['gourmet']
Cannabis Clinics,['health']
Cannabis Collective,['health']
Cannabis Dispensaries,['shopping']
Medical Cannabis Referrals,['health']
Cannabis Tours,['cannabis_clinics']
Cantonese,['chinese']
Canyoneering,['active']
Car Dealers,['auto']
Car Auctions,['auto']
Car Brokers,['auto']
Car Buyers,['auto']
Cardio Classes,['fitness']
Cardiologists,['physicians']
Career Counseling,['professional']
Caribbean,['restaurants']
Caricatures,['eventservices']
Carousels,['active']
Carpenters,['homeservices']
Carpet Cleaning,['localservices']
Carpet Dyeing,['localservices']
Carpeting,['homeservices']
Carpet Installation,['homeservices']
Car Rental,['hotelstravel']
Car Share Services,['auto']
Car Wash,['auto']
Car Window Tinting,['autoglass']
Casinos,['arts']
Catalan,['restaurants']
Caterers,['eventservices']
Mobile Phone Accessories,['shopping']
Ceremonial Clothing,['fashion']
Challenge Courses,['active']
Champagne Bars,['bars']
Cheerleading,['specialtyschools']
Cheese Shops,['gourmet']
Cheesesteaks,['restaurants']
Cheese Tasting Classes,['tastingclasses']
Chicken Wings,['restaurants']
Chicken Shop,['restaurants']
Childbirth Education,['specialtyschools']
Child Care & Day Care,['localservices']
Children's Clothing,['fashion']
Childproofing,['homeservices']
Children's Museums,['museums']
Chimney Cakes,['food']
Chimney Sweeps,['homeservices']
Chinese,['restaurants']
Chinese Martial Arts,['martialarts']
Chiropractors,['health']
Chocolatiers & Shops,['gourmet']
Christmas Trees,['homeandgarden']
Churches,['religiousorgs']
Cideries,['food']
Cigar Bars,['bars']
Circuit Training Gyms,['gyms']
Civic Center,['publicservicesgovt']
Climbing,['active']
Clock Repair,['localservices']
Clothing Rental,['fashion']
Clowns,['eventservices']
Club Crawl,['nightlife']
Cocktail Bars,['bars']
Coffee & Tea,['food']
Coffee Roasteries,['food']
College Counseling,['education']
Colleges & Universities,['education']
Colombian,['latin']
Colonics,['health']
Comedy Clubs,['nightlife']
Comfort Food,['restaurants']
Comic Books,['media']
Commercial Real Estate,['realestate']
Commissioned Artists,['professional']
Community Book Box,['localservices']
Community Centers,['publicservicesgovt']
Community Gardens,['localservices']
Computers,['shopping']
Concierge Medicine,['health']
Condominiums,['realestate']
Consumer Law,['lawyers']
Contract Law,['lawyers']
General Contractors,['homeservices']
Convenience Stores,['food']
Conveyor Belt Sushi,['japanese']
Cooking Classes,['artsandcrafts']
Cooking Schools,['specialtyschools']
Printing Services,['localservices']
Cosmetic Dentists,['dentists']
Cosmetics & Beauty Supply,['beautysvc']
Cosmetic Surgeons,['physicians']
Cosmetology Schools,['specialtyschools']
Costumes,['artsandcrafts']
Countertop Installation,['homeservices']
Country Clubs,['arts']
Country Dance Halls,['nightlife']
Couriers & Delivery Services,['localservices']
Courthouses,['publicservicesgovt']
Court Reporters,['legalservices']
CPR Classes,['specialtyschools']
Crane Services,['localservices']
Cremation Services,['funeralservices']
Creperies,['restaurants']
Criminal Defense Law,['lawyers']
Crisis Pregnancy Centers,['health']
Cryotherapy,['health']
CSA,['food']
Cuban,['restaurants']
Cultural Center,['arts']
Cupcakes,['food']
Currency Exchange,['financialservices']
Custom Cakes,['food']
Customized Merchandise,['shopping']
Customs Brokers,['professional']
Cycling Classes,['active']
Czech,['restaurants']
Damage Restoration,['homeservices']
Dance Schools,['specialtyschools']
Dance Clubs,['nightlife']
Dance Studios,['fitness']
Dance Wear,['sportswear']
Dart Arenas,['active']
Data Recovery,['itservices']
Day Camps,['active']
Debt Relief Services,['financialservices']
Decks & Railing,['homeservices']
Delis,['restaurants']
Demolition Services,['homeservices']
Dental Hygienists,['health']
Dentists,['health']
Departments of Motor Vehicles,['publicservicesgovt']
Department Stores,"['shopping', 'fashion']"
Dermatologists,['physicians']
Desserts,['food']
Diagnostic Imaging,['diagnosticservices']
Diagnostic Services,['health']
Dialysis Clinics,['health']
Diamond Buyers,['shopping']
Dietitians,['health']
Digitizing Services,['professional']
Dim Sum,['chinese']
Diners,['restaurants']
Dinner Theater,['restaurants']
Disability Law,['lawyers']
Disc Golf,['active']
Discount Store,['shopping']
Distilleries,['food']
Dive Bars,['bars']
Dive Shops,['sportgoods']
Diving,['active']
Divorce & Family Law,['lawyers']
DIY Auto Shop,['autorepair']
Do-It-Yourself Food,['food']
DJs,['eventservices']
Dog Parks,['parks']
Dog Walkers,['petservices']
Dominican,['caribbean']
Donation Center,['localservices']
Donuts,['food']
Door Sales/Installation,['homeservices']
Doulas,['health']
Drama Schools,['specialtyschools']
Drive-In Theater,['movietheaters']
Drive-Thru Bars,['bars']
Driving Schools,['specialtyschools']
Drones,['shopping']
Drugstores,['shopping']
Dry Cleaning,['laundryservices']
Drywall Installation & Repair,['homeservices']
DUI Law,['lawyers']
DUI Schools,['specialtyschools']
Dumpster Rental,['junkremovalandhauling']
Duplication Services,['professional']
Duty-Free Shops,['shopping']
Ear Nose & Throat,['physicians']
Eatertainment,['arts']
Editorial Services,['professional']
Education,[]
Educational Services,['education']
Egyptian,['mideastern']
Elder Care Planning,['localservices']
Elder Law,['lawyers']
Electricians,['homeservices']
Electricity Suppliers,['utilities']
Electronics,['shopping']
Electronics Repair,['localservices']
Elementary Schools,['education']
Elevator Services,['localservices']
Embassy,['publicservicesgovt']
Embroidery & Crochet,['artsandcrafts']
Emergency Medicine,['physicians']
Emergency Pet Hospital,['petservices']
Emergency Rooms,['health']
Empanadas,['food']
Employment Agencies,['professional']
Employment Law,['lawyers']
Endocrinologists,['physicians']
Endodontists,['dentists']
Engraving,['localservices']
Entertainment Law,['lawyers']
Environmental Abatement,['localservices']
Environmental Testing,['localservices']
Eritrean,['restaurants']
Escape Games,['active']
Estate Liquidation,['realestate']
Real Estate Photography,['realestatesvcs']
Estate Planning Law,['lawyers']
Estheticians,['skincare']
Ethiopian,['restaurants']
EV Charging Stations,['auto']
Event Photography,['photographers']
Party & Event Planning,['eventservices']
Event Planning & Services,[]
Excavation Services,['homeservices']
Eyebrow Services,['beautysvc']
Eyelash Service,['beautysvc']
Fabric Stores,['artsandcrafts']
Face Painting,['eventservices']
Falafel,['mediterranean']
Family Practice,['physicians']
Farm Equipment Repair,['localservices']
Farmers Market,['food']
Farming Equipment,['shopping']
Farms,['arts']
Farriers,['petservices']
Fashion,['shopping']
Fences & Gates,['homeservices']
Fencing Clubs,['active']
Feng Shui,['professional']
Ferries,['transport']
Fertility,['physicians']
Festivals,['arts']
Filipino,['restaurants']
Financial Advising,['financialservices']
Financial Services,[]
Fingerprinting,['localservices']
Firearm Training,['specialtyschools']
Fire Departments,['publicservicesgovt']
Fireplace Services,['homeservices']
Fire Protection Services,['homeservices']
Firewood,['homeservices']
Fireworks,['shopping']
First Aid Classes,['specialtyschools']
Fishing,['active']
Fish & Chips,['restaurants']
Fitness & Instruction,['active']
Fitness/Exercise Equipment,['shopping']
Flea Markets,['shopping']
Flight Instruction,['specialtyschools']
Float Spa,['health']
Flooring,['homeservices']
Floral Designers,['eventservices']
Florists,['flowers']
Flowers & Gifts,['shopping']
Flyboarding,['active']
Fondue,['restaurants']
Food,[]
Food Court,['restaurants']
Food Banks,['nonprofit']
Food Delivery Services,['food']
Food Safety Training,['specialtyschools']
Food Stands,['restaurants']
Food Tours,['tours']
Food Trucks,['food']
Soccer,['active']
Formal Wear,['fashion']
Foundation Repair,['homeservices']
Framing,['artsandcrafts']
Free Diving,['diving']
French,['restaurants']
Fuel Docks,['auto']
Funeral Services & Cemeteries,['localservices']
Fur Clothing,['fashion']
Furniture Stores,['homeandgarden']
Furniture Assembly,['homeservices']
Furniture Repair,['localservices']
Art Galleries,['arts']
Game Meat,['restaurants']
Game Truck Rental,['eventservices']
Garage Door Services,['homeservices']
Gardeners,['homeservices']
Nurseries & Gardening,['homeandgarden']
Botanical Gardens,['arts']
Gastroenterologist,['physicians']
Gastropubs,['restaurants']
Gay Bars,['bars']
Gelato,['food']
Gemstones & Minerals,['shopping']
General Litigation,['lawyers']
General Dentistry,['dentists']
Generator Installation/Repair,['localservices']
Geneticists,['physicians']
Georgian,['restaurants']
German,['restaurants']
Gerontologists,['physicians']
Gift Shops,['flowers']
Glass & Mirrors,['homeservices']
Glass Blowing,['artclasses']
Gluten-Free,['restaurants']
Go Karts,['active']
Gold Buyers,['shopping']
Golf,['active']
Golf Cart Dealers,['auto']
Golf Cart Rentals,['eventservices']
Golf Equipment,['sportgoods']
Golf Lessons,['fitness']
Specialty Food,['food']
Graphic Design,['professional']
Greek,['restaurants']
Grilling Equipment,['homeandgarden']
Grill Services,['localservices']
Grocery,['food']
Pet Groomers,['petservices']
Grout Services,['homeservices']
Guamanian,['restaurants']
Guest Houses,['hotelstravel']
Guitar Stores,['musicinstrumentservices']
Gun/Rifle Ranges,['active']
Guns & Ammo,['shopping']
Gunsmith,['localservices']
Gutter Services,['homeservices']
Gymnastics,['active']
Gyms,['fitness']
Habilitative Services,['health']
Hainan,['chinese']
Hair Salons,['beautysvc']
Hair Extensions,"['hair', 'beautysvc']"
Hair Loss Centers,['beautysvc']
Hair Removal,['beautysvc']
Hair Stylists,['hair']
Haitian,['caribbean']
Halal,['restaurants']
Halfway Houses,['health']
Halotherapy,['health']
Handyman,['homeservices']
Hang Gliding,['active']
Hardware Stores,['homeandgarden']
Hats,['fashion']
Haunted Houses,['arts']
Hawaiian,['restaurants']
Hazardous Waste Disposal,['localservices']
Head Shops,['shopping']
Health & Medical,[]
Health Coach,['health']
Health Insurance Offices,['health']
Health Markets,['gourmet']
Health Retreats,['hotelstravel']
Trainers,['fitness']
Hearing Aid Providers,['health']
Henna Artists,['eventservices']
Hepatologists,['physicians']
Herbal Shops,['health']
Herbs & Spices,['gourmet']
High Fidelity Audio Equipment,['shopping']
Middle Schools & High Schools,['education']
Hiking,['active']
Himalayan/Nepalese,['restaurants']
Hindu Temples,['religiousorgs']
Historical Tours,['tours']
Hong Kong Style Cafe,['restaurants']
Hobby Shops,['shopping']
Hockey Equipment,['sportgoods']
Holiday Decorations,['homeandgarden']
Home Inspectors,['homeservices']
Home Organization,['homeservices']
Home & Garden,['shopping']
Appliances & Repair,['localservices']
Home Automation,['homeservices']
Home Cleaning,['homeservices']
Home Decor,['homeandgarden']
Home Developers,['realestate']
Home Energy Auditors,['homeservices']
Home Health Care,['health']
Home & Rental Insurance,['insurance']
Homeless Shelters,['nonprofit']
Home Network Installation,['homeservices']
Homeowner Association,['realestate']
Home Services,[]
Home Staging,['realestate']
Home Theatre Installation,['homeservices']
Home Window Tinting,['homeservices']
Honduran,['restaurants']
Honey,['food']
Hookah Bars,['bars']
Horse Boarding,['pets']
Horseback Riding,['active']
Horse Equipment Shops,['shopping']
Horse Racing,['active']
Hospice,['health']
Hospitalists,['physicians']
Hospitals,['health']
Hostels,['hotelstravel']
Hot Air Balloons,['active']
Hot Dogs,['restaurants']
Fast Food,['restaurants']
Hotels,['eventservices']
Hotels & Travel,[]
Hot Pot,['restaurants']
Hot Springs,['beautysvc']
Hot Tub & Pool,['homeandgarden']
House Sitters,['homeservices']
Housing Cooperatives,['realestate']
Hungarian,['restaurants']
Hunting & Fishing Supplies,['sportgoods']
Heating & Air Conditioning/HVAC,['homeservices']
Hybrid Car Repair,['auto']
Hydro-jetting,['localservices']
Hydroponics,['gardening']
Hydrotherapy,['health']
Hypnosis/Hypnotherapy,['health']
Iberian,['restaurants']
Ice Cream & Frozen Yogurt,['food']
Ice Delivery,['localservices']
Immigration Law,['lawyers']
Immunodermatologists,['physicians']
Imported Food,['food']
Indonesian,['restaurants']
Indoor Playcentre,['active']
Indoor Landscaping,['professional']
Indian,['restaurants']
Infectious Disease Specialists,['physicians']
Installment Loans,['financialservices']
Insulation Installation,['homeservices']
Insurance,['financialservices']
Interior Design,['homeservices']
Interlock Systems,['auto']
Internal Medicine,['physicians']
Internet Cafes,['food']
Interval Training Gyms,['gyms']
International Grocery,['food']
Investing,['financialservices']
IP & Internet Law,['lawyers']
Irish,['restaurants']
Irish Pub,['bars']
Irrigation,['homeservices']
Internet Service Providers,['homeservices']
Italian,['restaurants']
IT Services & Computer Repair,['localservices']
IV Hydration,['health']
Izakaya,['japanese']
Jails & Prisons,['publicservicesgovt']
Japanese Curry,['japanese']
Japanese,['restaurants']
Jazz & Blues,['arts']
Jet Skis,['active']
Jewelry,['shopping']
Jewelry Repair,['localservices']
Juice Bars & Smoothies,['food']
Junk Removal & Hauling,['localservices']
Junkyards,['localservices']
Karaoke,['nightlife']
Karaoke Rental,['partyequipmentrentals']
Karate,['martialarts']
Kebab,['restaurants']
Kickboxing,['martialarts']
Kids Activities,['active']
Kids Hair Salons,['hair']
Kitchen & Bath,['homeandgarden']
Kitchen Incubators,['realestate']
Kitchen Supplies,['kitchenandbath']
Kiteboarding,['active']
Knife Sharpening,['localservices']
Knitting Supplies,['shopping']
Kombucha,['food']
Korean,['restaurants']
Kosher,['restaurants']
Laboratory Testing,['diagnosticservices']
Lactation Services,['health']
Lakes,['active']
LAN Centers,['arts']
Landmarks & Historical Buildings,['publicservicesgovt']
Landscape Architects or Designers,['homeservices']
Landscaping,['homeservices']
Land Surveying,['realestatesvcs']
Language Schools,['specialtyschools']
Laotian,['restaurants']
Laser Hair Removal,['hairremoval']
Laser Eye Surgery/Lasik,['health']
Laser Tag,['active']
Latin American,['restaurants']
Laundromat,['laundryservices']
Laundry Services,['localservices']
Lawn Services,['landscaping']
Lawyers,['professional']
Leather Goods,['fashion']
Lebanese,['mideastern']
Legal Services,['professional']
Libraries,['publicservicesgovt']
Lice Services,['health']
Life Coach,['professional']
Life Insurance,['insurance']
Lighting Fixtures & Equipment,['homeservices']
Lighting Stores,['homeandgarden']
Limos,['transport']
Lingerie,['fashion']
Livestock Feed & Supply,['shopping']
Local Fish Stores,['petstore']
Local Flavor,[]
Local Services,[]
Keys & Locksmiths,['homeservices']
Lounges,['bars']
Luggage,['shopping']
Luggage Storage,['travelservices']
Macarons,['gourmet']
Machine & Tool Rental,['localservices']
Machine Shops,['localservices']
Magicians,['eventservices']
Newspapers & Magazines,['media']
Mailbox Centers,['localservices']
Makerspaces,['arts']
Makeup Artists,['beautysvc']
Malaysian,['restaurants']
Marinas,['auto']
Marketing,['professional']
Fruits & Veggies,['gourmet']
Martial Arts,['fitness']
Masonry/Concrete,['homeservices']
Massage,['beautysvc']
Massage Schools,['specialtyschools']
Massage Therapy,['health']
Mass Media,[]
Matchmakers,['professional']
Maternity Wear,['fashion']
Mattresses,['homeandgarden']
Mauritius,['french']
Meaderies,['food']
Meat Shops,['gourmet']
Medical Centers,['health']
"Books, Mags, Music & Video",['shopping']
Mediators,['professional']
Medical Law,['lawyers']
Medical Spas,['beautysvc']
Medical Supplies,['shopping']
Medical Transportation,['health']
Meditation Centers,['fitness']
Mediterranean,['restaurants']
Memory Care,['health']
Men's Clothing,['fashion']
Men's Hair Salons,['hair']
Metal Detector Services,['localservices']
Metal Fabricators,['localservices']
Metro Stations,['transport']
Mexican,['restaurants']
Middle Eastern,['restaurants']
Midwives,['health']
Military Surplus,['shopping']
Mini Golf,['active']
Misting System Services,['localservices']
Mobile Home Repair,['homeservices']
Mobile Dent Repair,['auto']
Mobile Home Dealers,['realestate']
Mobile Home Parks,['realestate']
Mobile Phone Repair,['itservices']
Mobile Phones,['shopping']
Mobility Equipment Sales & Services,['auto']
Modern European,['restaurants']
Mohels,['eventservices']
Mongolian,['restaurants']
Montessori Schools,['education']
Moroccan,['restaurants']
Mortgage Brokers,['realestate']
Mortgage Lenders,['financialservices']
Mortuary Services,['funeralservices']
Mosques,['religiousorgs']
Motorsport Vehicle Dealers,['auto']
Motorcycle Rental,['hotelstravel']
Motorcycle Dealers,['auto']
Motorcycle Parts & Supplies,['autopartssupplies']
Motorcycle Repair,['auto']
Motorcycle Gear,['shopping']
Motorsport Vehicle Repairs,['auto']
Mountain Biking,['active']
Mountain Huts,['hotels']
Movers,['homeservices']
Cinema,['arts']
Muay Thai,['martialarts']
Municipality,['publicservicesgovt']
Museums,['arts']
Musical Instruments & Teachers,['shopping']
Musicians,['eventservices']
Musical Instrument Services,['localservices']
Music Production Services,['professional']
Music Venues,['arts']
Music & DVDs,['media']
Mystics,['psychic_astrology']
Nail Technicians,['othersalons']
Nanny Services,['localservices']
Natural Gas Suppliers,['utilities']
Naturopathic/Holistic,['physicians']
Nephrologists,['physicians']
Neurologist,['physicians']
Neuropathologists,['physicians']
Neurotologists,['physicians']
New American,['restaurants']
New Mexican Cuisine,['restaurants']
Nicaraguan,['restaurants']
Nightlife,[]
Community Service/Non-Profit,['localservices']
Noodles,['restaurants']
Notaries,['localservices']
Nudist,['active']
Nurse Practitioner,['health']
Nursing Schools,['specialtyschools']
Nutritionists,['health']
Obstetricians & Gynecologists,['physicians']
Observatories,['arts']
Occupational Therapy,['health']
Office Cleaning,['professional']
Office Equipment,['shopping']
Officiants,['eventservices']
Oil Change Stations,['auto']
Olive Oil,['gourmet']
Oncologist,['physicians']
Opera & Ballet,['arts']
Ophthalmologists,['physicians']
Eyewear & Opticians,['shopping']
Optometrists,['health']
Oral Surgeons,['dentists']
Organ & Tissue Donor Services,['health']
Organic Stores,['food']
Orthodontists,['dentists']
Orthopedists,['physicians']
Orthotics,['health']
Osteopathic Physicians,['physicians']
Nail Salons,['beautysvc']
Otologists,['physicians']
Outdoor Furniture Stores,['homeandgarden']
Outdoor Gear,['sportgoods']
Outdoor Movies,['movietheaters']
Outdoor Power Equipment Services,['localservices']
Outlet Stores,['shopping']
Oxygen Bars,['health']
Packing Services,['homeservices']
Packing Supplies,['shopping']
Paddleboarding,['active']
Pain Management,['physicians']
Paint & Sip,['arts']
Paintball,['active']
Painters,['homeservices']
Paint Stores,['homeandgarden']
Paint-Your-Own Pottery,['artsandcrafts']
Pakistani,['restaurants']
Pan Asian,['restaurants']
Pancakes,['breakfast_brunch']
Paragliding,['active']
Parasailing,['active']
Parenting Classes,['specialtyschools']
Parking,['auto']
Parklets,['localflavor']
Parks,['active']
Party Bike Rentals,['eventservices']
Party Bus Rentals,['eventservices']
Party Characters,['eventservices']
Party Equipment Rentals,['eventservices']
Party Supplies,['eventservices']
Passport & Visa Services,['travelservices']
Pasta Shops,['gourmet']
Patent Law,['professional']
Pathologists,['physicians']
Patio Coverings,['homeservices']
Pawn Shops,['shopping']
Check Cashing/Pay-day Loans,['financialservices']
Payroll Services,['professional']
Pediatric Dentists,['dentists']
Pediatricians,['physicians']
Pedicabs,['transport']
Perfume,['beautysvc']
Periodontists,['dentists']
Permanent Makeup,['beautysvc']
Persian/Iranian,['restaurants']
Personal Injury Law,['lawyers']
Personal Shopping,['shopping']
Personal Assistants,['professional']
Personal Care Services,['health']
Personal Chefs,['eventservices']
Peruvian,['restaurants']
Pest Control,['localservices']
Pet Sitting,['petservices']
Pet Training,['petservices']
Pet Adoption,['pets']
Pet Boarding,['pet_sitting']
Pet Breeders,['petservices']
Pet Cremation Services,['petservices']
Pet Hospice,['petservices']
Pet Insurance,['petservices']
Pet Photography,['petservices']
Pets,[]
Pet Services,['pets']
Pet Stores,['pets']
Petting Zoos,['zoos']
Pet Transportation,['petservices']
Pet Waste Removal,['petservices']
Pharmacy,['health']
Phlebologists,['physicians']
Photo Booth Rentals,['eventservices']
Photography Classes,['specialtyschools']
Photographers,['eventservices']
Photography Stores & Services,['shopping']
Physical Therapy,['health']
Doctors,['health']
Piadina,['food']
Piano Bars,['nightlife']
Piano Services,['musicinstrumentservices']
Piano Stores,['musicinstrumentservices']
Pickleball,['active']
Pick Your Own Farms,['farms']
Piercing,['beautysvc']
Pilates,['fitness']
Pizza,['restaurants']
Placenta Encapsulations,['health']
Planetarium,['arts']
Plastic Surgeons,['physicians']
Playgrounds,['active']
Playsets,['homeandgarden']
Plumbing,['homeservices']
Plus Size Fashion,['fashion']
Podiatrists,['physicians']
Poke,['food']
Pole Dancing Classes,['specialtyschools']
Police Departments,['publicservicesgovt']
Polish,['restaurants']
Polynesian,['restaurants']
Pool & Billiards,['shopping']
Pool Cleaners,['homeservices']
Pool Halls,['nightlife']
Pool & Hot Tub Service,['homeservices']
Popcorn Shops,['gourmet']
Pop-Up Restaurants,['restaurants']
Pop-up Shops,['shopping']
Portable Toilet Services,['localservices']
Portuguese,['restaurants']
Post Offices,['publicservicesgovt']
Poutineries,['restaurants']
Powder Coating,['localservices']
Prenatal/Perinatal Care,['health']
Preschools,['education']
Pressure Washers,['homeservices']
Pretzels,['food']
Preventive Medicine,['physicians']
Print Media,['massmedia']
Private Investigation,['professional']
Private Jet Charter,['transport']
Private Schools,['education']
Private Tutors,['education']
Process Servers,['legalservices']
Proctologists,['physicians']
Product Design,['professional']
Professional Services,[]
Propane,['localservices']
Property Management,['realestate']
Props,['shopping']
Prosthetics,['health']
Prosthodontists,['health']
Psychiatrists,['physicians']
Supernatural Readings,['arts']
Psychic Mediums,['psychic_astrology']
Psychics,['psychic_astrology']
Psychologists,['c_and_mh']
Public Adjusters,['professional']
Public Art,['localflavor']
Public Markets,['shopping']
Public Relations,['professional']
Public Services & Government,[]
Public Transportation,['transport']
Pubs,['bars']
Puerto Rican,['caribbean']
Pulmonologist,['physicians']
Pumpkin Patches,['homeandgarden']
Qi Gong,['fitness']
Races & Competitions,['active']
Race Tracks,['arts']
Racing Experience,['active']
Radiologists,['physicians']
Radio Stations,['massmedia']
Rafting/Kayaking,['active']
Ramen,['japanese']
Ranches,['farms']
Live/Raw Food,['restaurants']
Real Estate,['homeservices']
Real Estate Agents,['realestate']
Real Estate Law,['lawyers']
Real Estate Services,['realestate']
Recording & Rehearsal Studios,['localservices']
Recreation Centers,['active']
Recycling Center,['localservices']
Refinishing Services,['homeservices']
Reflexology,['health']
Registration Services,['auto']
Rehabilitation Center,['health']
Reiki,['health']
Religious Items,['shopping']
Religious Organizations,[]
Religious Schools,['education']
Furniture Rental,['localservices']
Reproductive Health Services,['health']
Reptile Shops,['petstore']
Residences,['hotels']
Resorts,['hotelstravel']
Restaurants,[]
Rest Stops,['hotels']
Retina Specialists,['opthamalogists']
Retirement Homes,['health']
Reunion,['french']
Furniture Reupholstery,['localservices']
Rheumatologists,['physicians']
Roadside Assistance,['auto']
Rock Climbing,['active']
Rodeo,['arts']
Roofing,['homeservices']
Roof Inspectors,['homeservices']
Rugs,['homeandgarden']
Russian,['restaurants']
RV Dealers,['auto']
RV Parks,['hotelstravel']
RV Rental,['hotelstravel']
RV Repair,['auto']
Safe Stores,['shopping']
Safety Equipment,['shopping']
Sailing,['active']
Salad,['restaurants']
Salvadoran,['latin']
Sandblasting,['localservices']
Sandwiches,['restaurants']
Sardinian,['italian']
Sauna Installation & Repair,['homeservices']
Saunas,['health']
Scandinavian,['restaurants']
Scavenger Hunts,['active']
Scooter Rentals,['active']
Scooter Tours,['tours']
Scottish,['restaurants']
